,site,site_sql_id,datetime,water_temperature,session
109,SGW2,2044,2025-03-15 15:45:00,7.582,0
110,SGW2,2044,2025-03-15 16:00:00,7.582,0
111,SGW2,2044,2025-03-15 16:15:00,7.582,0
112,SGW2,2044,2025-03-15 16:30:00,7.582,0
113,SGW2,2044,2025-03-15 16:45:00,7.582,0
114,SGW2,2044,2025-03-15 17:00:00,7.582,0
115,SGW2,2044,2025-03-15 17:15:00,7.582,0
116,SGW2,2044,2025-03-15 17:30:00,7.582,0
117,SGW2,2044,2025-03-15 17:45:00,7.582,0
118,SGW2,2044,2025-03-15 18:00:00,7.582,0
119,SGW2,2044,2025-03-15 18:15:00,7.582,0
120,SGW2,2044,2025-03-15 18:30:00,7.582,0
121,SGW2,2044,2025-03-15 18:45:00,7.582,0
122,SGW2,2044,2025-03-15 19:00:00,7.582,0
123,SGW2,2044,2025-03-15 19:15:00,7.582,0
124,SGW2,2044,2025-03-15 19:30:00,7.582,0
125,SGW2,2044,2025-03-15 19:45:00,7.582,0
126,SGW2,2044,2025-03-15 20:00:00,7.582,0
127,SGW2,2044,2025-03-15 20:15:00,7.582,0
128,SGW2,2044,2025-03-15 20:30:00,7.582,0
129,SGW2,2044,2025-03-15 20:45:00,7.582,0
130,SGW2,2044,2025-03-15 21:00:00,7.582,0
131,SGW2,2044,2025-03-15 21:15:00,7.582,0
132,SGW2,2044,2025-03-15 21:30:00,7.582,0
133,SGW2,2044,2025-03-15 21:45:00,7.582,0
134,SGW2,2044,2025-03-15 22:00:00,7.582,0
135,SGW2,2044,2025-03-15 22:15:00,7.582,0
136,SGW2,2044,2025-03-15 22:30:00,7.582,0
137,SGW2,2044,2025-03-15 22:45:00,7.582,0
138,SGW2,2044,2025-03-15 23:00:00,7.582,0
139,SGW2,2044,2025-03-15 23:15:00,7.582,0
140,SGW2,2044,2025-03-15 23:30:00,7.582,0
141,SGW2,2044,2025-03-15 23:45:00,7.582,0
142,SGW2,2044,2025-03-16 00:00:00,7.582,0
143,SGW2,2044,2025-03-16 00:15:00,7.582,0
144,SGW2,2044,2025-03-16 00:30:00,7.582,0
145,SGW2,2044,2025-03-16 00:45:00,7.582,0
146,SGW2,2044,2025-03-16 01:00:00,7.582,0
147,SGW2,2044,2025-03-16 01:15:00,7.582,0
148,SGW2,2044,2025-03-16 01:30:00,7.582,0
149,SGW2,2044,2025-03-16 01:45:00,7.582,0
150,SGW2,2044,2025-03-16 02:00:00,7.582,0
151,SGW2,2044,2025-03-16 02:15:00,7.582,0
152,SGW2,2044,2025-03-16 02:30:00,7.582,0
153,SGW2,2044,2025-03-16 02:45:00,7.582,0
154,SGW2,2044,2025-03-16 03:00:00,7.582,0
155,SGW2,2044,2025-03-16 03:15:00,7.582,0
156,SGW2,2044,2025-03-16 03:30:00,7.582,0
157,SGW2,2044,2025-03-16 03:45:00,7.582,0
158,SGW2,2044,2025-03-16 04:00:00,7.582,0
159,SGW2,2044,2025-03-16 04:15:00,7.582,0
160,SGW2,2044,2025-03-16 04:30:00,7.582,0
161,SGW2,2044,2025-03-16 04:45:00,7.582,0
162,SGW2,2044,2025-03-16 05:00:00,7.582,0
163,SGW2,2044,2025-03-16 05:15:00,7.582,0
164,SGW2,2044,2025-03-16 05:30:00,7.582,0
165,SGW2,2044,2025-03-16 05:45:00,7.582,0
166,SGW2,2044,2025-03-16 06:00:00,7.582,0
167,SGW2,2044,2025-03-16 06:15:00,7.582,0
168,SGW2,2044,2025-03-16 06:30:00,7.582,0
169,SGW2,2044,2025-03-16 06:45:00,7.582,0
170,SGW2,2044,2025-03-16 07:00:00,7.582,0
171,SGW2,2044,2025-03-16 07:15:00,7.582,0
172,SGW2,2044,2025-03-16 07:30:00,7.582,0
173,SGW2,2044,2025-03-16 07:45:00,7.582,0
174,SGW2,2044,2025-03-16 08:00:00,7.582,0
175,SGW2,2044,2025-03-16 08:15:00,7.582,0
176,SGW2,2044,2025-03-16 08:30:00,7.582,0
177,SGW2,2044,2025-03-16 08:45:00,7.582,0
178,SGW2,2044,2025-03-16 09:00:00,7.582,0
179,SGW2,2044,2025-03-16 09:15:00,7.582,0
180,SGW2,2044,2025-03-16 09:30:00,7.582,0
181,SGW2,2044,2025-03-16 09:45:00,7.582,0
182,SGW2,2044,2025-03-16 10:00:00,7.582,0
183,SGW2,2044,2025-03-16 10:15:00,7.582,0
184,SGW2,2044,2025-03-16 10:30:00,7.582,0
185,SGW2,2044,2025-03-16 10:45:00,7.582,0
186,SGW2,2044,2025-03-16 11:00:00,7.582,0
187,SGW2,2044,2025-03-16 11:15:00,7.582,0
188,SGW2,2044,2025-03-16 11:30:00,7.582,0
189,SGW2,2044,2025-03-16 11:45:00,7.582,0
190,SGW2,2044,2025-03-16 12:00:00,7.582,0
191,SGW2,2044,2025-03-16 12:15:00,7.582,0
192,SGW2,2044,2025-03-16 12:30:00,7.582,0
193,SGW2,2044,2025-03-16 12:45:00,7.582,0
194,SGW2,2044,2025-03-16 13:00:00,7.582,0
195,SGW2,2044,2025-03-16 13:15:00,7.582,0
196,SGW2,2044,2025-03-16 13:30:00,7.582,0
197,SGW2,2044,2025-03-16 13:45:00,7.582,0
198,SGW2,2044,2025-03-16 14:00:00,7.582,0
199,SGW2,2044,2025-03-16 14:15:00,7.582,0
200,SGW2,2044,2025-03-16 14:30:00,7.582,0
201,SGW2,2044,2025-03-16 14:45:00,7.582,0
202,SGW2,2044,2025-03-16 15:00:00,7.582,0
203,SGW2,2044,2025-03-16 15:15:00,7.582,0
204,SGW2,2044,2025-03-16 15:30:00,7.582,0
205,SGW2,2044,2025-03-16 15:45:00,7.582,0
206,SGW2,2044,2025-03-16 16:00:00,7.582,0
207,SGW2,2044,2025-03-16 16:15:00,7.582,0
208,SGW2,2044,2025-03-16 16:30:00,7.582,0
209,SGW2,2044,2025-03-16 16:45:00,7.582,0
210,SGW2,2044,2025-03-16 17:00:00,7.582,0
211,SGW2,2044,2025-03-16 17:15:00,7.582,0
212,SGW2,2044,2025-03-16 17:30:00,7.582,0
213,SGW2,2044,2025-03-16 17:45:00,7.582,0
214,SGW2,2044,2025-03-16 18:00:00,7.582,0
215,SGW2,2044,2025-03-16 18:15:00,7.582,0
216,SGW2,2044,2025-03-16 18:30:00,7.582,0
217,SGW2,2044,2025-03-16 18:45:00,7.582,0
218,SGW2,2044,2025-03-16 19:00:00,7.582,0
219,SGW2,2044,2025-03-16 19:15:00,7.582,0
220,SGW2,2044,2025-03-16 19:30:00,7.582,0
221,SGW2,2044,2025-03-16 19:45:00,7.582,0
222,SGW2,2044,2025-03-16 20:00:00,7.582,0
223,SGW2,2044,2025-03-16 20:15:00,7.582,0
224,SGW2,2044,2025-03-16 20:30:00,7.582,0
225,SGW2,2044,2025-03-16 20:45:00,7.582,0
226,SGW2,2044,2025-03-16 21:00:00,7.582,0
227,SGW2,2044,2025-03-16 21:15:00,7.582,0
228,SGW2,2044,2025-03-16 21:30:00,7.582,0
229,SGW2,2044,2025-03-16 21:45:00,7.582,0
230,SGW2,2044,2025-03-16 22:00:00,7.582,0
231,SGW2,2044,2025-03-16 22:15:00,7.582,0
232,SGW2,2044,2025-03-16 22:30:00,7.582,0
233,SGW2,2044,2025-03-16 22:45:00,7.582,0
234,SGW2,2044,2025-03-16 23:00:00,7.582,0
235,SGW2,2044,2025-03-16 23:15:00,7.582,0
236,SGW2,2044,2025-03-16 23:30:00,7.582,0
237,SGW2,2044,2025-03-16 23:45:00,7.582,0
238,SGW2,2044,2025-03-17 00:00:00,7.582,0
239,SGW2,2044,2025-03-17 00:15:00,7.582,0
240,SGW2,2044,2025-03-17 00:30:00,7.582,0
241,SGW2,2044,2025-03-17 00:45:00,7.582,0
242,SGW2,2044,2025-03-17 01:00:00,7.582,0
243,SGW2,2044,2025-03-17 01:15:00,7.582,0
244,SGW2,2044,2025-03-17 01:30:00,7.582,0
245,SGW2,2044,2025-03-17 01:45:00,7.582,0
246,SGW2,2044,2025-03-17 02:00:00,7.582,0
247,SGW2,2044,2025-03-17 02:15:00,7.582,0
248,SGW2,2044,2025-03-17 02:30:00,7.582,0
249,SGW2,2044,2025-03-17 02:45:00,7.582,0
250,SGW2,2044,2025-03-17 03:00:00,7.582,0
251,SGW2,2044,2025-03-17 03:15:00,7.582,0
252,SGW2,2044,2025-03-17 03:30:00,7.582,0
253,SGW2,2044,2025-03-17 03:45:00,7.582,0
254,SGW2,2044,2025-03-17 04:00:00,7.582,0
255,SGW2,2044,2025-03-17 04:15:00,7.582,0
256,SGW2,2044,2025-03-17 04:30:00,7.582,0
257,SGW2,2044,2025-03-17 04:45:00,7.582,0
258,SGW2,2044,2025-03-17 05:00:00,7.582,0
259,SGW2,2044,2025-03-17 05:15:00,7.582,0
260,SGW2,2044,2025-03-17 05:30:00,7.582,0
261,SGW2,2044,2025-03-17 05:45:00,7.582,0
262,SGW2,2044,2025-03-17 06:00:00,7.582,0
263,SGW2,2044,2025-03-17 06:15:00,7.582,0
264,SGW2,2044,2025-03-17 06:30:00,7.582,0
265,SGW2,2044,2025-03-17 06:45:00,7.582,0
266,SGW2,2044,2025-03-17 07:00:00,7.582,0
267,SGW2,2044,2025-03-17 07:15:00,7.582,0
268,SGW2,2044,2025-03-17 07:30:00,7.582,0
269,SGW2,2044,2025-03-17 07:45:00,7.582,0
270,SGW2,2044,2025-03-17 08:00:00,7.582,0
271,SGW2,2044,2025-03-17 08:15:00,7.582,0
272,SGW2,2044,2025-03-17 08:30:00,7.582,0
273,SGW2,2044,2025-03-17 08:45:00,7.582,0
274,SGW2,2044,2025-03-17 09:00:00,7.582,0
275,SGW2,2044,2025-03-17 09:15:00,7.582,0
276,SGW2,2044,2025-03-17 09:30:00,7.582,0
277,SGW2,2044,2025-03-17 09:45:00,7.582,0
278,SGW2,2044,2025-03-17 10:00:00,7.582,0
279,SGW2,2044,2025-03-17 10:15:00,7.582,0
280,SGW2,2044,2025-03-17 10:30:00,7.582,0
281,SGW2,2044,2025-03-17 10:45:00,7.582,0
282,SGW2,2044,2025-03-17 11:00:00,7.582,0
283,SGW2,2044,2025-03-17 11:15:00,7.582,0
284,SGW2,2044,2025-03-17 11:30:00,7.582,0
285,SGW2,2044,2025-03-17 11:45:00,7.582,0
286,SGW2,2044,2025-03-17 12:00:00,7.582,0
287,SGW2,2044,2025-03-17 12:15:00,7.582,0
288,SGW2,2044,2025-03-17 12:30:00,7.582,0
289,SGW2,2044,2025-03-17 12:45:00,7.582,0
290,SGW2,2044,2025-03-17 13:00:00,7.582,0
291,SGW2,2044,2025-03-17 13:15:00,7.582,0
292,SGW2,2044,2025-03-17 13:30:00,7.582,0
293,SGW2,2044,2025-03-17 13:45:00,7.582,0
294,SGW2,2044,2025-03-17 14:00:00,7.582,0
295,SGW2,2044,2025-03-17 14:15:00,7.582,0
296,SGW2,2044,2025-03-17 14:30:00,7.582,0
297,SGW2,2044,2025-03-17 14:45:00,7.582,0
298,SGW2,2044,2025-03-17 15:00:00,7.582,0
299,SGW2,2044,2025-03-17 15:15:00,7.582,0
300,SGW2,2044,2025-03-17 15:30:00,7.582,0
301,SGW2,2044,2025-03-17 15:45:00,7.582,0
302,SGW2,2044,2025-03-17 16:00:00,7.582,0
303,SGW2,2044,2025-03-17 16:15:00,7.582,0
304,SGW2,2044,2025-03-17 16:30:00,7.582,0
305,SGW2,2044,2025-03-17 16:45:00,7.582,0
306,SGW2,2044,2025-03-17 17:00:00,7.582,0
307,SGW2,2044,2025-03-17 17:15:00,7.582,0
308,SGW2,2044,2025-03-17 17:30:00,7.582,0
